PCA,min_samples,eps,clusters,noise_rate,ARI,NMI
10,2,0.13000000000000003,23,0.25869565217391305,0.06875367202234199,0.45070810034834125
10,3,0.13000000000000003,10,0.31521739130434784,0.06166765358359783,0.40308575453178885
10,2,0.12000000000000002,32,0.29782608695652174,0.06121923522551067,0.46619725290254366
10,3,0.12000000000000002,16,0.3673913043478261,0.0500227482727729,0.4063514402750362
10,2,0.11000000000000001,38,0.3630434782608696,0.049225998868158684,0.4666333647343495
10,4,0.13000000000000003,9,0.3978260869565217,0.047211017462466254,0.36693818672379364
10,2,0.14,19,0.23695652173913043,0.04370708099551797,0.36338769318511377
15,2,0.23000000000000004,14,0.17391304347826086,0.043301202863843063,0.35988816920321604
15,3,0.23000000000000004,6,0.20869565217391303,0.04177680965185612,0.3254208251667441
10,3,0.14,8,0.2847826086956522,0.04162503667109199,0.31667054621324336
